feature,mean_abs_shap_predicted_class,mean_abs_shap_all_classes,mean_abs_shap_Gestational,mean_abs_shap_No Diabetes,mean_abs_shap_Pre-Diabetes,mean_abs_shap_Type 1,mean_abs_shap_Type 2
hba1c,0.32949377757810083,0.15201331431254375,0.021421457215120347,0.11122385439329352,0.2937242408595708,0.015695065004693757,0.3180019540900397
glucose_fasting,0.10922926806025483,0.05808319875975508,0.0032395839120893536,0.10570816024043815,0.11830936503603823,0.003451730904280707,0.05970715370592894
Age,0.10309152419261879,0.05865737897448005,0.08035877485571226,0.003948437808470901,0.03854939678865982,0.06407605693869474,0.10635422848086272
gender,0.042931714277891705,0.024786033539468313,0.0569139330695974,0.001153267710819691,0.012917474406100716,0.01474340538718624,0.03820208712363743
income_level,0.016170604423747643,0.009910538211461805,0.0038959312335831017,0.0023292559047574488,0.007379786876086479,0.02273243483046861,0.013215282212413422
family_history_diabetes,0.01544968827793253,0.007910184307992684,0.0030069707320554933,0.006272715238225464,0.011266480811393531,0.000617084232338298,0.01838767052595064
hypertension_history,0.012852539588840447,0.007273457055272548,0.01266002099737871,0.0007789950722568836,0.0041722709892015215,0.004788742863812359,0.013967255353713272
physical_activity_minutes_per_week,0.010940413024937817,0.005978417980568942,0.0071590395237301355,0.001201617957530111,0.0020577115905413977,0.011178639314695414,0.008295081516347603
diastolic_bp,0.009026554913570909,0.005189033571610766,0.0026250020084474072,0.0006892599688430811,0.0027661125908363224,0.010238954921728625,0.00962583836819841
insulin_level,0.007743841329916211,0.004260962196181511,0.006492528622971076,0.0003412542553070486,0.003160793343047134,0.004528628402949617,0.006781606356632673
employment_status,0.006032553785079306,0.0033883520173896287,0.00017746533357228123,0.0005805600718804647,0.003851308599441834,0.004383423048423437,0.007949003033630143
alcohol_consumption_per_week,0.005931192123329045,0.0033013777060717565,0.006172047655046629,0.0004615007722503829,0.0032528961893024035,0.0023878788341146714,0.004232565079644707
triglycerides,0.0044143148326661165,0.002795867309783445,0.004504464506526965,0.0008195889644414273,0.0022222440116762875,0.003947764261986425,0.0024852748042861095
waist_to_hip_ratio,0.0037281685324437332,0.002281356689116373,0.0025245670588296843,0.00019814218416911933,0.002702101230613722,0.003637010259942926,0.0023449627120263857
systolic_bp,0.0033221640154468134,0.002322068155377112,0.002889408854728243,0.0009092505577133474,0.0034449469785808417,0.0034362708227882108,0.0009304635630749184
ldl_cholesterol,0.0031734973626328963,0.0020224929961915987,0.003521486404718165,0.0006123920606051614,0.0020445294345343298,0.002547132475444178,0.0013869246056561631
diet_score,0.002902437942635049,0.0016760756874267847,0.0026174483989282443,0.0011190142899013234,0.0006600529916953325,0.0011416775985097173,0.00284218515809931
sleep_hours_per_day,0.0028316121791254257,0.0018343303473974497,0.0018317203029350616,0.0006994898838015061,0.0033123179019172084,0.0027934707061851778,0.0005346529421482955
cardiovascular_history,0.002691645940695713,0.0012518313636406162,2.7906380690638037e-05,0.0006268425158690661,0.002474829457914837,0.0,0.00312957846372854
ethnicity,0.0026667879999747682,0.0016226709609517876,0.0038242101892395314,5.9181309426203404e-05,0.0003662280274140445,0.0008381731682032864,0.0030255621104758753
screen_time_hours_per_day,0.0024932548705737085,0.0014404460759480985,0.0011842427916917916,0.00010552396400711589,0.002077516232970737,0.0016944647902585057,0.002140482600812337
bmi,0.002456327704701602,0.0013988547161854269,0.0011413719295439646,0.001528680687498419,0.0013411459978223403,0.001677972821388103,0.001305102144674312
cholesterol_total,0.002347961641852033,0.0013392149093550483,0.002199313798281075,0.000269004231849358,0.0013847094806532993,0.0016744508411447503,0.0011685961948467603
glucose_postprandial,0.0023020915882688126,0.0012422901156423187,0.001551693075396396,0.00022992876589538329,0.0017514112198681682,0.0015608345848457242,0.0011175829322059149
smoking_status,0.0018310104487994632,0.000945903244436038,0.000428714697496671,0.00012962912824004887,0.0015003437703180252,0.0004937916179791771,0.0021770370081462716
heart_rate,0.0018013898879335616,0.001156261549777722,0.0023322528111311873,0.0003789753319663578,0.00037270351948671775,0.0006971673364311569,0.0020002087498731972
hdl_cholesterol,0.0014316928733281568,0.0008467664619279246,0.0006972199390624876,0.0001533732538565529,0.001387072274242188,0.000993135241182027,0.0010030316012963648
education_level,0.0,0.0,0.0,0.0,0.0,0.0,0.0
