feature,mean_abs_shap_predicted_class,mean_abs_shap_all_classes,mean_abs_shap_Gestational,mean_abs_shap_No Diabetes,mean_abs_shap_Pre-Diabetes,mean_abs_shap_Type 1,mean_abs_shap_Type 2
hba1c,0.29474313108860045,0.12521990668451835,0.00856317603698979,0.09984781851296032,0.24079721987116656,0.00466677079366136,0.27222454820781267
glucose_fasting,0.09632609757772566,0.047563137145427745,0.0034311785694804498,0.09364484714583161,0.0856117727257,0.0031426506714415446,0.051985236614685085
Age,0.05780450837547345,0.032638610267350564,0.049791937420726275,0.0017954973817300866,0.021143751267647434,0.030361995690692065,0.060099869575956956
glucose_postprandial,0.04979450864275591,0.023297203275822645,0.004541822285593023,0.017675518834909497,0.04127875994373976,0.0022253917096531008,0.05076452360521785
gender,0.024226573179660923,0.014691771704755413,0.036082082300242554,0.0009776044691416257,0.008370251916454371,0.004729608478023611,0.023299311359914903
family_history_diabetes,0.019295423266162327,0.009987451504243058,0.006690280722677814,0.004764990650383672,0.008387733285918958,0.005391042838232323,0.024703210024002595
income_level,0.009096941798401302,0.005369506975713492,0.003236340706778421,0.0005471767154982464,0.004359241972276442,0.010829353069567534,0.007875422414446798
systolic_bp,0.008267152295865395,0.004798271495556009,0.0035677103612093263,0.000687542977997234,0.003221104378875746,0.007547589718353665,0.008967410041344092
hypertension_history,0.007088357658694585,0.004313540051428779,0.006424968419324068,0.0007775579103820647,0.0017413748732524569,0.0031316172355101667,0.009492181818675161
employment_status,0.004466768356968223,0.002651158282889263,0.0025978638151568224,0.000503857550477428,0.0017172261280070174,0.0023229577832438353,0.006113886137561213
diastolic_bp,0.0041514423698887516,0.0025758173876819154,0.0027545118549982227,0.0006006791898002757,0.0024908479656088715,0.0030931362242347564,0.0039399117037674704
insulin_level,0.003830143724110117,0.0023241826660227744,0.0030004239118646644,0.0005237725384010328,0.0016997326643799755,0.001890718817806232,0.004506265397661966
smoking_status,0.0036672886193205084,0.0018819432420007405,0.0018357232633658142,0.000572891591014439,0.0014562255932490562,0.001181288635243266,0.004363587127131126
physical_activity_minutes_per_week,0.0034711327902956384,0.0021071128983457055,0.00199500685809819,0.0006323997500231409,0.0024010177302272186,0.0025858424768814736,0.0029212976764984985
ethnicity,0.0030481905313339414,0.0017475031065967979,0.002786593281757569,0.00026977287102793364,0.0012724433440638905,0.0005619681001172617,0.0038467379360173316
cholesterol_total,0.0025747941872888156,0.001522947844137599,0.0011033867423092523,0.0005098373868246775,0.0014145214535435662,0.0020590836943692207,0.0025279099436412733
sleep_hours_per_day,0.0022840173810050623,0.001455451955537665,0.002148017311397799,0.00040665724862561044,0.0010366393144776943,0.0012120123924920514,0.002473933510695164
bmi,0.002247046665017224,0.0012929618866944813,0.0011692278367355026,0.0006457981970431406,0.0014231399018463755,0.0009092069186285577,0.0023174365792188335
cardiovascular_history,0.002132032673391104,0.0011407018157699217,0.0010378024253933048,0.0004571067308761795,0.0011154242340381203,0.00035933915855238587,0.0027338365299896202
ldl_cholesterol,0.0021094139539130385,0.0012792368495007376,0.0012736958913022024,0.00047345900200660546,0.0011865322707258572,0.001289836861699201,0.002172660221769818
hdl_cholesterol,0.0019033216943960373,0.0011999629697336683,0.002022912111027242,0.00027443598362754103,0.0011717395874594927,0.0006330742410470213,0.001897652925507049
triglycerides,0.001896137451295088,0.0012398055956114116,0.0016605721774742691,0.0004362173882493471,0.0014822759700201392,0.0012622209435614704,0.0013577414987518397
diet_score,0.001868884491597062,0.001121879293941593,0.0010588633297747274,0.0005119964498054573,0.0013317400839664211,0.0008598950661396947,0.0018469015400216704
waist_to_hip_ratio,0.0017469594811573086,0.0010375049683987426,0.0012048208950494101,0.0004902384511344004,0.0012346473737231212,0.0005562336931570403,0.0017015844289297378
screen_time_hours_per_day,0.0017050324647324571,0.0011724669192651408,0.0012983417454435293,0.00034445273372940175,0.0011897233887568138,0.0013555235213385181,0.0016742932070574396
alcohol_consumption_per_week,0.0016988970996033577,0.001053265937225953,0.0016487350164015163,0.00024896112794115183,0.000940927629745347,0.0005531204444823811,0.0018745854675593693
heart_rate,0.0014768317177133504,0.000863009544036329,0.0009385316491920306,0.0003443367155074141,0.0009192680542420912,0.000698801260138535,0.001414110041101578
education_level,0.0010325064415197423,0.0005971895544137501,0.0006466508417479141,0.0002548345870126584,0.000756565715767807,0.00045568260917405723,0.0008722140183663128
