feature,importance
hba1c,0.21521781097675427
Age,0.15407374185987244
glucose_fasting,0.12704039943524176
glucose_postprandial,0.09125964403062341
gender,0.06414332434499624
physical_activity_minutes_per_week,0.03453261686854387
income_level,0.03288871974488268
systolic_bp,0.03043858401172778
cholesterol_total,0.022798896379863567
triglycerides,0.02261485104167214
ldl_cholesterol,0.019411305916330057
diastolic_bp,0.018090976722741518
sleep_hours_per_day,0.01612183890959559
bmi,0.014298604687850075
family_history_diabetes,0.014270574422227787
insulin_level,0.01419576725680115
screen_time_hours_per_day,0.013533157956341267
diet_score,0.013369689737197097
heart_rate,0.013215287714390445
hdl_cholesterol,0.012447433974583985
waist_to_hip_ratio,0.011752871425916864
hypertension_history,0.009230271445473273
ethnicity,0.007439940745031712
alcohol_consumption_per_week,0.007038275444506558
employment_status,0.00674483900309741
smoking_status,0.006731407852019166
education_level,0.005038830185989583
cardiovascular_history,0.002060337905728353
