feature,importance
hba1c,0.1720512
gender,0.14890526
Age,0.10783956
income_level,0.08230865
glucose_fasting,0.07335139
family_history_diabetes,0.038718335
hypertension_history,0.03754932
glucose_postprandial,0.031394787
systolic_bp,0.02490504
employment_status,0.023641177
smoking_status,0.021750638
education_level,0.020460375
cardiovascular_history,0.019946719
ethnicity,0.019631278
physical_activity_minutes_per_week,0.017364077
diastolic_bp,0.015729576
triglycerides,0.015326605
ldl_cholesterol,0.014656444
cholesterol_total,0.013113322
hdl_cholesterol,0.0129481675
waist_to_hip_ratio,0.012918245
insulin_level,0.0124543
sleep_hours_per_day,0.012126485
alcohol_consumption_per_week,0.011723104
bmi,0.01076293
heart_rate,0.010279592
screen_time_hours_per_day,0.009633934
diet_score,0.008509542
